Title,Type,Season,Total Episodes,Watched Episodes,Status,Score,Start Date,Finish Date,Times Watched,Rewatching,Priority,Tags,Comments
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",TV,,13,6,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,TV,,12,2,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,TV,,10,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Isekai Meikyuu de Harem wo,TV,,12,4,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,TV,,13,13,Completed,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai no Sata wa Shachiku Shidai,TV,,12,1,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai no Seikishi Monogatari,OVA,,13,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai Nonbiri Nouka,TV,,12,6,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai Ojisan,TV,,13,13,Completed,8,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,TV,,12,1,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai Shikkaku,TV,,12,3,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai Shokudou,TV,,12,6,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai Shoukan wa Nidome desu,TV,,12,6,Dropped,3,2023-04-08,0000-00-00,0,0,LOW,isekai,
Isekai wa Smartphone to Tomo ni.,TV,,12,12,Completed,1,0000-00-00,0000-00-00,0,0,LOW,isekai,
Isekai Yakkyoku,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Ishura,TV,,12,2,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
Ishuzoku Reviewers,TV,,12,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
